feature,importance
a_pc,0.23224278
b_pc,0.14634638
v_km_s,0.08914928
m1,0.08541161
m3,0.06322088
t_coal_yr,0.06298637
m2,0.055181388
psi,0.052895974
phi,0.05087784
theta,0.045836955
e,0.043711502
f,0.037157383
Ecc_Anomaly,0.03498164
