learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,weight_class_0,weight_class_1,weight_class_2,value
0.04141763487952216,108,8,8,0.8726348840496061,0.7818333682880101,2.754863756816141,1.7945579305460262,0.6998968809217696,3,1.7689065133634407,2.856401777866896,0.6908189409119733,2.3724973915302767,-0.5500260175147468
0.012009420668586531,466,9,8,0.7026067938713099,0.6212990808352632,0.06561305156360997,3.1482427915167555,1.4018238965714953,2,1.9467411257774334,2.2378462182404637,0.9206891284622167,2.517525853404888,-0.5167430600748235
0.055526536281790655,134,8,7,0.858051462063951,0.6067105331910947,1.219902509480784,3.493037333289779,0.6101755659377319,9,1.4381597238911716,1.6550354858535579,0.5331254772955882,1.6094836723151578,-0.5352820387940044
0.034611492699408844,202,8,4,0.7202462457791207,0.8100083534244418,3.7517453240737337,2.3430282223993233,0.7923632042264843,0,1.7182035611127073,3.0286332855468525,0.8400978714624261,2.7830594679668543,-0.5532503348247655
0.010125892043359465,145,8,7,0.8958050801789411,0.8341374321606982,4.3035971752780355,2.971813485673934,1.493471805313071,3,0.738220440743502,2.7403224833377884,0.8850197202534191,1.7619962669982487,-0.5375030537661113
0.08671387830941148,448,4,10,0.6168253735178827,0.6349854437089026,3.608344844485319,4.682449802956256,1.8529789076087804,1,1.4693736167940665,2.3704345038338968,0.7513154722163509,2.8559324064903446,-0.5348665303459373
0.024001324837239258,333,7,7,0.7346905963725054,0.7692465479097156,3.9304159628935698,3.0966360639125035,0.8624206870673585,10,0.5833087043942613,3.4923664857279597,0.870601631210767,2.030358668407692,-0.5840779727217258
0.023139960112717732,243,7,6,0.7420489447952592,0.737901860124722,1.398533043685863,3.1415960840885186,1.6419821903154543,7,0.9797289271629737,2.752848368548826,0.9305536272445756,2.5694672917843917,-0.533490334294102
0.0340136470624996,425,10,3,0.6511636995544119,0.8988503933964718,4.774082003423279,0.12256219777749378,0.8392020084471283,3,1.498155129744879,2.9662755453150353,0.7488066966971669,1.4779160353350425,-0.5752260537168673
0.0982632256021912,138,9,4,0.7006420346561791,0.7004595835479981,4.2507405819200175,0.7449964455268887,0.24117090773219596,6,1.5176235641303824,2.2916354021632928,0.7928330710878858,1.6885071690390487,-0.5560563377072357
0.017215428009803996,209,7,1,0.8876963989692638,0.8474655833324009,2.3139324983672256,3.91907436830914,1.9181823170083654,0,1.0455612642341339,2.4026092543327624,0.6427740547696653,1.2510476909841493,-0.5644550428732966
0.010068059683656394,395,8,4,0.8729986554619613,0.6168252845394614,0.9884490712328842,4.832187207958163,1.6527273455315985,6,1.5149900997328263,3.1365586142241177,0.5105603295199173,2.3155369922717246,-0.5484980698682327
0.047892104765336396,320,7,7,0.6615961499025144,0.7385990095800969,1.9304001697603812,0.9843016290570883,0.7214521045351112,1,0.8522254224610744,3.3622574353230457,0.7176444466840137,2.370351712120331,-0.584612208900885
0.02463205298618366,428,3,9,0.7384161702758534,0.8010052303104744,4.1106705863561785,0.9625508828405727,0.7509995782239489,2,1.1699835430043133,3.3935507314759152,0.6026819527316835,2.0141047189332006,-0.5595153240949939
0.038740469875100686,401,7,5,0.7501617681126812,0.8922058045222742,1.4620377840754706,3.754182936805146,0.6482516323585621,9,0.5736414188651795,3.5979771911386216,0.5192724409821988,2.9124322047380997,-0.5774115683103612
