,precision,recall,f1-score,support
0,0.31064601186552404,0.7953586497890295,0.4467883384688315,7110.0
1,0.7885521885521886,0.1685781467440856,0.2777733849924883,20839.0
2,0.42246942412881816,0.625990346962936,0.5044767356524292,10981.0
accuracy,0.4120729514513229,0.4120729514513229,0.4120729514513229,0.4120729514513229
macro avg,0.5072225415155103,0.5299757144986837,0.4096794863712496,38930.0
weighted avg,0.5980084497292958,0.4120729514513229,0.37258781635168714,38930.0
