m1 m2 m3 a_pc e b_pc phi theta psi f v_km_s Ecc_Anomaly t_coal_yr OUTCOME MERGE 2gBBH TRIPLE
44.24687092485098 31.67722135625797 73.76401884402792 2.3746847977987432e-05 0.5954197563009597 8.071725726699187e-05 5.870818371899954 2.557968798564328 0.241494074592717 0.9081319553302384 9.0731561737081 0.4820156157948077 368200840894839.9 2 0 0 0
32.84768266692125 23.024422330785363 67.90085651317831 0.0010821140387127 0.984808034753 0.0024387387395355 1.97631996409 1.13651825931465 3.70517646482 -3.1411539483165067 8.418599517421034 3.14660711423 1.2970674223267298e+17 1 0 0 0
40.46476263385605 32.719788755325865 87.09747031896397 7.506973730515601e-05 0.2717316604118611 0.0021542588186991 4.943241509072054 2.6756675930022533 4.997735323457161 2.871166453435668 3.558120326162136 2.785843054181896 1.441394270053582e+17 2 0 0 0
32.72071383675952 36.002471513750784 84.76765342509009 0.0001037184762671 0.920030059734 0.0016489970561229 4.88798186186 0.7657499186867205 5.19882476518 3.1029870516954263 4.487036578124791 2.95296536235 1386066510347513.5 0 0 0 0
26.71337355367044 25.392402144719725 60.72387280016945 0.0004577936583172 0.8048478400720869 0.0021868571538971 4.901077260794735 1.206739431336679 1.9374167474112405 3.043591588631461 9.25151223445566 2.845503144315444 1.948491548587077e+19 0 0 0 0
40.75471796347973 17.44159326921556 60.97145117276737 0.0002340416666164 0.666669333747 0.0008714386475601 2.09842878094 2.3278612333459354 5.68031835039 2.7994380089262387 9.551738618172628 2.40427924693 5.332481539847478e+18 1 0 0 0
42.61844091347736 31.038218261105392 87.63503350290438 0.0008756815989873 0.9035986786709056 0.0076159755686917 1.0122053227744898 1.873684276318856 4.007930929769961 -2.977984308136957 4.351364231819947 3.840355196385645 1.0631053080532165e+19 1 0 0 0
68.08498633027874 27.556628372294632 69.18161547452775 0.0001405078577756 0.5992499431495295 0.0013262046970932 5.973168760854737 1.33723714888108 5.036859061765502 0.2209298831970964 9.424146800940386 0.1109325350262224 2.6113171152494627e+17 2 0 0 0
38.036978106602746 21.235241990679125 85.79938527086156 0.000579267558966 0.5479407269833634 0.0037888539795291 0.1961935005356778 2.035281070994733 0.7017476452911523 -1.3293691660267837 6.950651669741465 5.482014589942992 3.8356286499015806e+20 1 0 0 0
51.49159546877978 33.33259631675102 82.56332681092853 7.446275991824626e-05 0.7960694951677296 0.000907115727758 2.091844810879222 1.9751244326124893 2.1664272214136697 2.4156419312455206 9.490435372405845 1.4513937872834504 3777384420358985.5 2 0 0 0
