,precision,recall,f1-score,support
0,0.5838754008245534,0.7045492233707368,0.6385611582876181,18091.0
1,0.6874269005847953,0.5640865684533807,0.619678958327842,20839.0
accuracy,0.6293603904443874,0.6293603904443874,0.6293603904443874,0.6293603904443874
macro avg,0.6356511507046743,0.6343178959120588,0.6291200583077301,38930.0
weighted avg,0.6393059095197416,0.6293603904443874,0.6284536277209144,38930.0
