learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,class_1_weight,threshold,value
0.05756691744883145,313,8,4,0.647681463341986,0.7524333531886296,0.5284701393424385,0.42975859201647204,1.5226648621595826,6,0.579394460025324,4.964829580646863,0.3968562863339211,-0.7165465439724781
0.01244893534929132,647,6,20,0.8286117142907806,0.6485948808072335,2.92089690694725,0.8910092121241175,0.9907858820168913,3,0.46345845669435587,2.2917324222859103,0.245420850872193,-0.7147197766214564
0.010365125194890927,403,4,10,0.8334278476235979,0.6605586279366045,1.1150586987087086,2.1461237590888893,0.15180983366071144,7,0.7176231164917912,1.7490980626105028,0.2523291489834663,-0.7114404085724118
0.03928063341036363,57,6,17,0.8926221729367928,0.6725678149670802,0.7981015542630582,1.6204710256846284,0.3096477661898145,4,0.6934952202818225,2.900697401113348,0.20660552242280827,-0.709445871693553
0.030563980118542364,234,10,4,0.8343805545899408,0.7817396434679063,1.9447928361414064,1.7156363513633215,0.6845998582260204,0,0.585263625522792,2.714203140866706,0.5500814326833158,-0.7161162582422786
0.015671657184414278,174,10,5,0.7308750872499296,0.6216144949490121,2.057779797343642,4.806368427868531,1.1992241760691869,4,2.403731567900296,1.4071925384545056,0.30819296053664447,-0.7106961144610396
0.014369159018168666,64,6,14,0.8606504602866201,0.7599252620965232,0.7585345202872656,4.955286992763901,0.6332719195159835,9,2.003786788134674,1.7872821254195643,0.5189651514748426,-0.7106521046385539
0.01047658303632937,713,3,12,0.7564872157270954,0.878399578013345,1.161713706309554,0.4803725036080808,1.2267945575780193,10,1.8278135853299506,1.2029801305705294,0.2932256998419931,-0.7109744407562497
0.05809683901101843,260,3,11,0.7774578771009106,0.78623186593322,4.277470311059692,0.7754392699492496,1.7141479766385195,7,0.4647598624631802,3.1933171063437102,0.5680683753612841,-0.7035706984439855
0.08154138729595255,231,8,4,0.6142829040882531,0.7931178701345653,0.3702351555758271,0.16042691556423794,1.9053118245727172,3,0.8529668081302609,2.6512485595421698,0.4206197146124685,-0.7189729369051184
0.02215655582638491,540,6,11,0.6695186929929988,0.6020518555674669,4.435177588990674,2.185013572380528,0.25760041493272823,6,0.7057947969329215,2.5744712853575416,0.21341490327829743,-0.711503402172387
0.028630887927149126,62,10,17,0.7857798814362467,0.8750910004609113,3.1212900863402364,0.6946326331021174,1.3326844362706558,6,0.4468713960587858,3.678224243996052,0.5199175118279907,-0.7197788933260612
0.013080915333586542,689,7,16,0.8424375966040373,0.8297091554512354,2.539849694635294,3.3211209175248513,1.836730251100449,8,1.2870305500705597,0.7994232224163225,0.09133339891005213,-0.7103555412175491
0.016267837310534734,629,6,4,0.7787324274069402,0.7688475061060691,0.8312671603516025,1.3861809230244293,0.0032718948413201776,7,0.4490964639506814,4.3619128391265,0.3101473040068463,-0.7139294524573057
0.0775487905757299,102,3,15,0.8165666141733864,0.6221822753727482,3.4896588361368153,2.835242906522204,0.5571095252713429,10,0.458112177868155,2.514516749776759,0.08092680162277172,-0.7088896040845822
0.08041368017485846,212,10,7,0.6444171797638042,0.6868981630136053,3.7114144509858367,0.28818716550501056,1.9100899211860014,3,2.4702630438601383,1.8120046516103006,0.3644080295473134,-0.7141363784140976
0.011723481299913144,323,8,2,0.8347335857286453,0.8665398402741468,1.9301207708392627,4.192379170993884,0.10796587070728814,7,1.0744513929001411,3.988921189738603,0.4434031464161061,-0.7134967544810887
0.0341984524202186,377,7,20,0.7648888390131607,0.8090416666915908,3.0415672314592213,1.4517547750981097,0.9172364098467678,3,1.4662525888476883,0.6203494542217844,0.3914505209484295,-0.7219658639896391
0.05243343089175515,56,10,16,0.6265807109372858,0.8936963648025922,4.920730641951123,1.557333372881196,1.9807160385001361,4,0.45319067192876955,4.870091407060123,0.17458972345454615,-0.7096963952088412
0.07238783515555534,111,10,5,0.8518886069359106,0.8847622118471739,2.592675808400793,3.3190272867130948,0.6945601829750356,3,0.8969111328789403,4.237816823184213,0.45167696073288804,-0.7173590877249768
0.0997490298707588,412,9,18,0.7995229256990948,0.7960261544634087,4.857796014705158,0.0927048209373521,1.4879230352579889,6,0.4685799774064084,3.9677902137172936,0.5306419973278529,-0.7229425669013044
0.010836649545027166,90,6,11,0.6730295421228002,0.6426858798754479,4.634676363983138,2.122526403820037,1.828123399401018,7,0.6752733058312317,0.6584457832069677,0.5574636717791361,0.0
0.012497071470224514,295,5,17,0.7678127024539317,0.7018792745910489,1.3733508657998499,0.9461029860321574,1.8304410880750908,5,0.6802491683961452,4.260023943424781,0.08176265623275816,-0.7072462827248869
0.02197493786623208,556,3,20,0.7034840762698875,0.820615632869741,0.9838255559106213,0.15580085903020957,1.2855292720102194,0,1.2483232237820896,1.0251725899964415,0.13226473107739228,-0.7101648565573074
0.015070257867530192,467,6,2,0.6603161552182468,0.7357636220947421,0.6471517248706593,0.6378341909075314,1.6292804511187964,5,0.5936617330307964,4.843449635431068,0.09955510455382108,-0.7088215925741463
0.04066428339478237,640,7,12,0.6468613953862464,0.8430480685027003,2.8784369929387745,1.2984599904318328,0.7631767887647043,2,0.7474107613111698,3.296205909956267,0.056088255006638575,-0.7083979133830749
