learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,weight_class_0,weight_class_1,weight_class_2,value
0.4265029199298543,546,7,5,0.6408940274090179,0.846693587206578,5.027719612298714,1.729280307498301,2.8060331605093336,4.220855969571466,0.5149891091116019,1.8175690167055312,-0.41897895166763366
0.23339317214582442,323,10,5,0.7596780187110059,0.7126071249097532,8.767215151468376,5.761434277748495,4.228950081083367,3.9153757173078025,0.43348634510004624,1.9736399028543548,-0.21504605360169268
0.015512910923825408,401,7,5,0.60565783072561,0.8250894451094737,8.862306396224861,2.457554372088598,0.48794564292301723,3.6389289126534594,0.40430786361054816,1.6293789194767068,-0.15359296892361268
0.40866414776082816,111,7,1,0.7021824842679507,0.7265066093738135,7.9491457361181,1.3312559105109456,1.7778518057342518,3.721594251739247,0.37289788403536794,1.3150836963110875,-0.36745113127889933
0.4028551998660379,283,8,7,0.9159102207086107,0.9341906205950405,1.4454145882690006,7.612311943177023,2.3931068210391504,3.8898499154092754,0.48235310160330014,2.8379058116675173,-0.29893723384646537
0.0522483840562135,270,3,9,0.8601143380941153,0.6845482989034221,6.5979345629677235,0.7293141097672273,0.5454018583109599,2.6720424947399497,0.36674659457556297,2.3510356508913928,-0.1466744137898793
0.027194020385347337,385,10,2,0.8766544188625311,0.6482715777624795,4.443509644368043,9.778828303960692,1.3391809231379692,3.370871006094042,0.31157293253611396,1.3634322532777319,-0.10295395308427453
0.1577565923161648,439,8,6,0.8128140050889089,0.5771957807254313,5.4569786451810565,1.2388905712169906,4.266975816744422,3.740119008083618,0.608467990925869,2.3169229728488006,-0.39274647413391306
0.035463890630204505,537,10,1,0.6486919612451034,0.7029236211509705,2.426336328593667,0.7176494436626957,4.108834480261223,3.9751347853475174,0.37053823413559994,1.8534932826663892,-0.10295395308427453
0.024799218956241275,436,10,10,0.935828202903958,0.6793687386291312,6.725014355842035,6.6848534456406625,3.3250625338803452,2.5633748625943875,0.5904239770301659,1.5221873329285305,-0.4568703315737765
0.07307860291643475,76,6,6,0.8528881763675309,0.8094992584928375,4.860633441338594,4.830597852604833,1.3512831409598776,4.057262412272705,0.4144966235446069,1.4677133248722622,-0.10295395308427453
0.018677327759840042,527,6,6,0.829554622752487,0.9492850775241419,1.9357264127410334,4.610963934627803,0.4274134481691244,2.296924610690566,0.46118650104043335,2.910559409284553,-0.24206516333655845
0.24953658043871763,188,9,1,0.9469955637126963,0.6698835325560464,8.519984119117176,2.725603084458746,4.073235613096696,2.1973127675137825,0.44719929444370976,1.3967481865212512,-0.4216075794408784
0.010320648756455369,348,6,5,0.518881473210602,0.6096743349103262,2.8625083803384097,1.8279247656781683,2.741308987005375,2.7479482275773903,0.3500396362681533,2.061500351455831,-0.1466744137898793
0.41009790247643974,150,8,1,0.7618447603664469,0.9125994233004464,9.332018231099472,6.107426652165644,1.4281298166231489,2.549320871209784,0.38797934763749825,2.8070013484946656,-0.2761117216549646
0.03092498042840234,472,7,10,0.9841131450218927,0.6217669667886485,0.4681729897917686,1.3293301592117257,0.60681530921328,4.196133480291567,0.5022142306175603,2.071571864985736,-0.1269940222858524
0.01497452539078473,480,7,7,0.5560427677421107,0.5728350662972035,2.528009536256909,3.285508072377834,3.294059658035837,2.502708338337296,0.4411123378718537,2.6770245502213954,-0.1466744137898793
0.3113227919300389,402,7,9,0.7274438381850201,0.5598674477293835,8.787776552846536,5.0244280564679835,2.066284634407511,2.1387201370753104,0.3703090052010611,1.7589077504127082,-0.3886688839209694
0.016243165861398807,705,7,4,0.7855273468284124,0.9312341015562211,2.8144144407972718,6.555237848851584,2.387199786382086,4.101713272559136,0.6090854596069851,2.3699054105267043,-0.2989836587940828
0.0914480235193614,489,6,5,0.6025220048142466,0.6515965654204467,9.56744963579131,1.2296707347104585,4.2872389443384264,3.0973336067478803,0.5329363052762072,2.9120232614428128,-0.24874639342631197
0.03555623070247375,447,10,4,0.5478660352276407,0.7653164424830038,1.2291575754937212,0.1594771523034788,0.24333481294596393,2.4380465737033417,0.45421330369321755,1.762874500470129,-0.458458614415228
0.45296426610166396,736,4,1,0.9848764244275223,0.6522196346253541,7.659668340192368,7.219721530168619,0.705275729046379,2.541957256962654,0.39499002948932205,1.8162255344729181,-0.38080664083570176
0.37638106746563044,327,3,3,0.6809596308397639,0.7626564925716219,8.45554145554901,1.8722639500516391,3.763057491897289,4.180922095929503,0.5050354823928787,2.450804041332464,-0.2664229038419773
0.1533368925462931,508,3,2,0.6712414133896418,0.7288026173719466,6.777854913125251,5.824320130461599,0.36157820709716737,2.754839124836345,0.6128275617362637,2.4322637234422864,-0.41417533561242764
0.30689414377774504,526,10,5,0.5338070935824235,0.8011592910052592,8.316512773652468,9.464117486205382,4.259816574412399,2.3927161631823473,0.32308037678661644,1.5957834558232027,-0.2863024432726548
0.10105102654417834,301,3,9,0.527943853849766,0.7089355438116114,9.677923759177887,6.268945919320796,4.21783003168995,2.563006625370821,0.37186792330846125,1.565541729310481,-0.26105027962057054
0.4195000324839072,164,6,6,0.6796803255008066,0.9323265135842955,5.932765644004253,3.2209163051780507,0.9542212387588817,3.16475929972019,0.484125714813179,2.4428789445042187,-0.4080495713461451
0.041828580411465886,143,8,10,0.8026407712788163,0.7833146629506895,0.13041603545882463,1.516599647724749,3.1625200004166567,2.4132537241652643,0.41766930159705706,1.832875073343279,-0.37528417369914485
0.0751549824842283,367,5,4,0.5337509667245923,0.523477425457275,4.513989281337247,3.7234164586248952,3.6283333708485688,2.796695032388295,0.359806998274687,2.419225653787134,-0.21881169764615307
0.017349708199918205,733,6,10,0.9338323743118071,0.8034279304858226,8.33794392486779,8.596345663069657,0.8071080827633614,4.208250085145271,0.5550586153603603,1.6119744466687667,-0.21206499710173574
0.015854926400892123,476,4,2,0.8463967787695426,0.8612015567658844,7.206776579259497,0.784912534367741,0.6955870285494231,2.0526326809988746,0.41164005832836253,2.461137173700452,-0.1466744137898793
0.027694396941884497,743,9,6,0.9151872860081016,0.5162373658675605,8.432615427170816,5.802547616254029,4.695487611985469,3.2953919896436394,0.5176571964985778,1.8005901898615186,-0.3755878836863448
0.043523589437460056,451,8,5,0.5230135348480155,0.9618017998334372,3.1030464246152247,3.5064869839915724,4.786170795502539,3.7155810536286626,0.6143337638834563,2.037188810380497,-0.4077322672506661
0.16135429757009292,672,10,3,0.9954776778031047,0.5305878037874578,5.316639767185256,3.8144113489104714,4.842018773239213,1.8760622854756588,0.6222571122177653,1.6149975892562076,-0.48477624410308146
0.20276512605924965,157,10,1,0.9994122721660172,0.5550401235571034,6.446596830216929,3.2485003369128607,3.0796431537360043,1.9887026081390344,0.3374154239207971,1.2665103570576073,-0.3869174217852443
0.1691189463970775,729,10,1,0.9998143131948982,0.5205259024890704,6.938874943377333,3.203347157531918,1.9113052076909587,3.432622422960465,0.32680898722684415,1.3415956631598416,-0.10295395308427453
0.1658291178703252,169,10,1,0.6530447671295189,0.5126558695503463,6.970272437127493,9.90104291701614,4.948907260572251,1.9344246123880304,0.618173792749988,1.2109095096335087,-0.5037151074571862
0.1652780452388657,740,10,1,0.7045976884413273,0.5005137847096017,6.561072652325127,9.740340818420478,4.738222601192771,1.9965913782721998,0.31377208743608753,1.204203839307914,-0.3663181907304917
0.16273658886338052,673,9,1,0.6855781252960336,0.5207042348290101,6.632201991104326,0.03115204370403557,2.14463341223905,2.0493643295219606,0.605221623237888,1.2393877655755337,-0.506117985220136
0.18005964739438712,724,9,1,0.678543634128386,0.5048555286856329,6.612927848315535,3.4513467666957665,2.025183686789021,1.9726190672230757,0.6183094344230831,1.1996954593584892,-0.5129530666372069
0.17826874067058807,694,9,3,0.9978414962878412,0.5062474966559687,6.58667533529011,3.3516468808631057,1.9898897218782277,1.9694721669620294,0.31786780106393475,1.221223347279946,-0.38146228489155104
0.18109860660878768,694,9,3,0.696496884800379,0.5404153864119917,5.480227291713914,3.707809908666375,4.794914753483243,3.41756978008125,0.5822759670603794,1.185617466240306,-0.4233496566767078
0.1667856962064958,183,9,3,0.7065876919784061,0.569605579930103,6.7564969706791285,3.15915923959407,4.943429755284068,4.523410812084479,0.6101363090244045,1.193384532375088,-0.387343164857239
0.13078653509021018,187,9,2,0.7085863065943099,0.752750557475884,6.253512547872872,2.920401574494547,1.703030958506698,4.526330648141533,0.3121502412401672,1.238352958743331,-0.10295395308427453
0.17634118792503184,185,9,2,0.6939353665572963,0.509240381626857,6.888030881854939,3.5939639021191763,1.6873054964823913,1.8554211860430203,0.3124839803770003,1.2058751506951177,-0.3930073124293267
0.1709402552532263,178,9,2,0.7040130788327542,0.5068071145312598,6.986130044429162,3.01820248437441,1.9647641027632692,1.8823154645844855,0.5769609477260631,1.3144672896160818,-0.5024828622081587
0.18247784443600903,167,9,8,0.7201093774989414,0.5494797378959168,6.527124196452244,3.5475056901325477,4.856597854311979,2.022070660695711,0.5585084835764084,1.2036957196916243,-0.4842453455944038
0.17417850019004907,182,9,7,0.9882573780062183,0.9806479136863618,6.021462316287643,2.9541322849396288,4.674419426663521,3.146617524528775,0.5830577569480802,2.188886231675959,-0.4069982805594314
0.16945456945683543,215,9,7,0.9284149069071831,0.9850355574470101,5.9002981611745255,2.596555158156952,4.968063127863989,3.0835681210750927,0.5686341663587958,2.208464712612453,-0.4062486098697411
0.1516804804133268,191,9,7,0.9370701377192385,0.9963837023748717,5.805737714407373,0.13720112692374542,4.962744052670121,4.432463181132704,0.5872891487375802,2.212243554932879,-0.3769081396600831
0.15043426075038627,224,9,7,0.9440736253178552,0.9746360354268909,5.4278676085035755,0.05699447783523204,4.9479228561037,4.432570297372461,0.5961755101592111,2.6190262724890214,-0.3737494240414341
0.1398157567633943,216,9,3,0.6588571513177498,0.9902796172633808,5.808048288700991,2.633494757243935,4.941572622083605,1.8417993898162606,0.5680920932977468,1.2293895064236646,-0.49911868356054895
0.17622716300525554,229,9,3,0.6628403542132085,0.5058241699320128,5.798040141883902,4.137951983339952,4.8020953077905535,1.822563669384829,0.5663695660175356,1.2014783066183945,-0.4959624074883499
0.13798402368420778,219,9,3,0.6466658232017792,0.9999475595705526,5.882999093144465,3.9038927887107477,4.971323042794535,1.8605065112042731,0.5780142911636295,2.1863436466274315,-0.44518535652191726
0.1254257062364479,209,9,2,0.6494290640142241,0.8464706096762779,5.813067584072751,3.9689410556324205,4.886175834131066,1.8529901681670204,0.5818566531816612,2.5614962691725522,-0.42488070222932023
0.14370330549515734,631,9,2,0.6356378765601658,0.8658826819932928,3.7776793676069866,0.05363578413110659,4.901850577139389,1.82623844928663,0.5856098494491853,1.2047051885347952,-0.507138522638373
0.2471948865467789,642,9,2,0.6240934934758992,0.8858314897723436,5.753200076085722,2.349798011634447,4.975010837432404,1.836077570411123,0.5722604065808217,2.620276662976444,-0.4242176946920993
0.2594581770959249,235,9,8,0.6157612225869127,0.8412344126393965,3.714596376946361,2.431777938218823,4.984499758193877,1.8678003014277047,0.5722435758622286,1.4402291653002632,-0.48478284456366477
0.2591393207843844,222,9,8,0.6151975224503085,0.5012679960449027,7.576606359408246,4.000991400206293,4.967779719480664,2.2122857447875317,0.5541764737495413,1.4424374466631242,-0.45541482706863445
0.2429661742728672,240,9,8,0.6174751256292033,0.8586241262645432,3.9289092942016985,2.354849989977197,4.914712342614815,1.840356599048936,0.5464021446956432,1.5066607569167125,-0.47763757738873763
0.12204389936536739,231,9,3,0.607324405242045,0.5307130340994917,7.640833545361949,0.0705942616267663,4.918550638997895,1.8729212768247725,0.5686922445256818,1.447849748722185,-0.4760571024290566
0.259561316104142,259,9,3,0.612534317104991,0.5011715956122699,7.526963364809031,4.104161770045641,4.994483446884038,1.8261008060904012,0.5787482872060443,1.4435956829731384,-0.4824919296370629
0.2528086300438121,239,8,3,0.6081632838212383,0.6053544751475375,7.817782117356476,4.402237567466545,4.579484418380305,1.8426129375284035,0.5873959316398619,1.4937257889050257,-0.48630696392203304
0.12359022660242559,613,8,3,0.6106901468444708,0.6069253264654136,3.677858263296353,4.494320660597059,4.571026190140898,1.8247327073438753,0.5867307289024297,1.467665469091885,-0.49033933785822087
0.22963949846348725,238,8,3,0.6138211885262495,0.5372461013108492,5.2911193394212575,4.018145276832923,4.631851635721328,1.8629303161515525,0.590887109300983,1.440442746526804,-0.4856536182666473
0.11991431264592078,237,10,3,0.6331868660065626,0.53817526059743,5.246009601855074,4.253057884538587,4.598996483388084,1.9607986184999515,0.5438963051979725,1.4499838137794459,-0.46649734973043566
0.11342419898406932,54,10,3,0.612992933992971,0.6030829486195192,3.9379012440333057,5.287909488813495,4.618444260941001,1.8382113868263965,0.543711747301415,1.4756965831218825,-0.4625750250027059
0.11624252364874303,632,10,3,0.6170937999930821,0.605736788093441,3.803908510937568,4.242472546981779,4.408210497851904,1.9265847805185035,0.6219820910225629,1.463832139307576,-0.497014573547653
