feature,importance
a_pc,0.17054011
b_pc,0.10745311
v_km_s,0.080349974
m1,0.07696708
psi,0.06753486
phi,0.06668831
m2,0.06656254
m3,0.065087035
t_coal_yr,0.06423913
theta,0.06169142
e,0.060253866
f,0.056980602
Ecc_Anomaly,0.055651963
