,precision,recall,f1-score,support
0,0.47824273599332684,0.4838255977496484,0.4810179682584073,7110.0
1,0.6667526304930885,0.6203272709822928,0.6427026623909314,20839.0
2,0.464491051907037,0.5223567981058191,0.49172738962708956,10981.0
accuracy,0.5677626509118932,0.5677626509118932,0.5677626509118932,0.5677626509118932
macro avg,0.5364954727978174,0.54216988894592,0.5384826734254761,38930.0
weighted avg,0.5752720308438016,0.5677626509118932,0.5705876445254808,38930.0
