feature,importance
a_pc,0.24762364
b_pc,0.14780481
t_coal_yr,0.0926776
m1,0.09198576
v_km_s,0.08483767
m2,0.05413246
m3,0.053050775
psi,0.050196093
phi,0.04918343
theta,0.038311414
e,0.037499715
f,0.027163617
Ecc_Anomaly,0.025533048
