number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
0,-0.2669388026461548,2025-12-03 23:08:19.883942,2025-12-03 23:08:28.256380,0 days 00:00:08.372438,0.5198653710214872,3.6671536816946384,0.010588585549279427,10,1,85,2.6026281619533274,3.182461416315381,0.6261899798074876,2.613264376347659,0.35706671109374294,1.4898035949694326,COMPLETE
1,-0.10295395308427453,2025-12-03 23:08:19.890879,2025-12-03 23:08:27.811796,0 days 00:00:07.920917,0.5081377453170485,1.6028889280894076,0.07039808278719609,4,5,470,7.899863400311677,9.347736965351366,0.5194477319566095,3.9252879961464844,0.39636246502791017,1.905540116169445,COMPLETE
2,-0.3508804625916852,2025-12-03 23:08:19.922692,2025-12-03 23:08:25.177803,0 days 00:00:05.255111,0.5525445406507679,0.1070243540182958,0.10460047483115842,6,6,67,3.3793315560930437,9.333142605818042,0.5281020777385057,2.8923771141457193,0.4844334345935035,2.164538100795411,COMPLETE
3,-0.3984284863412091,2025-12-03 23:08:19.944710,2025-12-03 23:08:32.889479,0 days 00:00:12.944769,0.9164635522378329,2.5856614294251035,0.1876067723893698,7,9,303,9.829926644124884,0.7488086332222732,0.8280714222246686,3.1033586531376045,0.4655373406563842,1.4185036124377344,COMPLETE
4,-0.10295395308427453,2025-12-03 23:08:19.980004,2025-12-03 23:08:27.026033,0 days 00:00:07.046029,0.8686781109280988,4.310801950564493,0.022377723138350597,3,8,724,8.125857257842137,6.627612615979452,0.7347369813667042,4.382342038939091,0.5930874530776229,1.4308970416008393,COMPLETE
5,-0.10295395308427453,2025-12-03 23:08:20.027828,2025-12-03 23:08:27.556787,0 days 00:00:07.528959,0.7519608283267071,1.031393536435421,0.02481672279799747,4,10,479,0.9020294105834181,3.5486356048644865,0.8437294379496607,3.5895722278647835,0.3256071943009735,1.9795151876498485,COMPLETE
6,-0.4423348630138218,2025-12-03 23:08:20.055507,2025-12-03 23:08:25.949186,0 days 00:00:05.893679,0.954529949472301,2.2845201317548884,0.13793083073751872,8,6,65,8.246953726647666,4.804419245439581,0.8950516306688735,2.518813016915947,0.5833994316169673,1.8809944623286217,COMPLETE
7,-0.10295395308427453,2025-12-03 23:08:20.067902,2025-12-03 23:08:28.686527,0 days 00:00:08.618625,0.5314758708179993,4.581402519089691,0.016889773687686634,7,9,118,4.786636974955686,3.427421025497961,0.6875124310241023,4.48198656944978,0.42795446982434804,2.0161452244975715,COMPLETE
8,-0.3577442021582766,2025-12-03 23:08:20.113004,2025-12-03 23:08:39.194716,0 days 00:00:19.081712,0.5275973578742843,3.451783360909004,0.4219400874876162,9,4,602,7.138957336522158,2.676923334138983,0.8599134527017753,4.12299831703323,0.4845128248763375,2.3274063108952547,COMPLETE
9,-0.4399327254505034,2025-12-03 23:08:20.142145,2025-12-03 23:09:03.226103,0 days 00:00:43.083958,0.9001821287224181,1.5700325280604188,0.05163430507541022,10,2,563,5.320479783250766,5.286996237987617,0.9186202922832878,2.4936592244036255,0.556373217562392,2.3438787202538753,COMPLETE
