,precision,recall,f1-score,support
0,0.4185667752442997,0.5783403656821379,0.4856501712531003,7110.0
1,0.7088607594936709,0.4729593550554249,0.5673660881328613,20839.0
2,0.4461912906196553,0.6177033057098625,0.5181224458618188,10981.0
accuracy,0.5330336501412792,0.5330336501412792,0.5330336501412792,0.5330336501412792
macro avg,0.5245396084525419,0.5563343421491417,0.5237129017492601,38930.0
weighted avg,0.5817514950262012,0.5330336501412792,0.5385516878042351,38930.0
