,precision,recall,f1-score,support
0,0.8591444410734479,0.9789440603394092,0.9151402088811199,31820.0
1,0.7493453049008605,0.2817158931082982,0.4094858427885107,7110.0
accuracy,0.8516054456717185,0.8516054456717185,0.8516054456717185,0.8516054456717185
macro avg,0.8042448729871542,0.6303299767238537,0.6623130258348153,38930.0
weighted avg,0.8390912209813057,0.8516054456717185,0.8227897710974453,38930.0
