feature,importance
a_pc,0.30696574
b_pc,0.15178269
v_km_s,0.09664218
t_coal_yr,0.08849893
m3,0.058779765
m1,0.04454472
m2,0.042599265
phi,0.040487036
e,0.038241923
psi,0.037987657
theta,0.03674416
f,0.028553644
Ecc_Anomaly,0.028172253
