learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,weight_ratio_0,weight_ratio_1,max_delta_step,scale_pos_weight,value
0.0701645070067231,564,9,1,0.8307476754572037,0.6684021204243464,1.386023968166289,0.24258587256031638,0.5660384694420104,0.746115974127014,0.8950397467941514,1,0.5205725887061285,-0.6025283179863278
0.06525170548925914,515,4,8,0.8456359362397207,0.8088870645992081,2.5213774705508865,2.5201326413204104,1.3050652459826895,1.2198737575222716,0.8901963746805055,5,1.520040942809045,-0.6841590776603136
0.05024429028777026,490,6,3,0.8119823148807108,0.6558141699135235,0.985610160292793,0.12278256684262967,1.5971601933277864,0.9421711822697396,0.8644777701432228,9,1.7586427730140952,-0.6997435354487663
0.06417003327770163,553,6,2,0.6590341033082178,0.7251759404876078,1.459792041243642,0.6707612242309502,1.940008510677434,0.854449992167175,1.108085080540231,3,0.8194532233803666,-0.6803828272686587
0.041652832490301474,697,5,3,0.7712378456513898,0.7130151951932002,1.8587155243790217,3.8461864615114854,0.17802577191798918,0.7855002645646431,0.8109437919702877,10,1.742489800728727,-0.6892159917643513
0.08172995065178677,580,4,4,0.7877216653902668,0.6945619996081835,4.5912407296343725,0.5937620234957225,0.5785009280233075,1.0542650422548938,0.9485745687579537,6,1.3869619013607464,-0.6959581648582214
0.014784260710999945,335,10,7,0.6816708035825659,0.6731791007275958,2.7926807575881907,3.9527177795758157,1.3513432198206177,0.7742510422551384,1.060881293950087,3,1.6622092551919319,-0.663112241742707
0.024860972036643492,666,7,6,0.716606789241571,0.8207698221096822,3.9474049093843604,4.705159471274118,1.543962378412639,0.7323519418824158,0.8310648701181397,1,0.8308767311797554,-0.6016562926964292
0.015659648651450066,272,3,4,0.6259401887154216,0.8195808889129353,3.20744229159661,3.5584821317894355,1.5085492917877024,0.739365645033516,0.8184935335312814,6,0.5496797669956446,-0.6052952264535474
0.03343499957491281,125,3,4,0.6939708212334699,0.7805603939783625,3.9384854940757448,1.976363275258957,0.8627797052314792,0.7337427434660221,0.8433866351279693,5,1.0215409006817793,-0.6693292890784154
0.08810623506395067,106,7,3,0.8222421533040944,0.7333278390034418,3.174205842781034,1.202872054138266,1.3933406729544435,1.1522658011394304,0.89920256123168,3,1.7421359369432698,-0.7030976851323244
0.052375518138951194,118,3,10,0.8939670377894264,0.7009133292577966,2.1350782785364943,2.269418615487572,0.3977133132927744,1.2718492274124615,1.043861478320555,9,1.2616061481351695,-0.6700253533271083
0.010383425189418276,303,5,4,0.7236526826351521,0.6958919568889452,2.710033109853824,2.7142343344474296,1.1096647886290267,1.1167394587676251,1.1342918685950438,3,1.126363454547715,-0.6815658452297425
0.017631567045106548,629,6,3,0.7379247307151791,0.8909677315276776,1.2604287424473388,0.9009410779563193,1.6030919456058637,1.015911296368834,0.975667827785842,4,1.4539763028943866,-0.7028779035339023
0.06989127581345564,635,6,10,0.8994671719453002,0.7016695512073334,1.0423096574504986,0.1925048937281515,1.0098907468076923,0.7172461934683293,0.9729767004520035,9,0.6913883225008544,-0.5920303075935555
0.017785768998455954,208,4,7,0.7035812504155429,0.6828071742388313,2.1132714573837728,1.3539669515802244,0.36129905167333787,0.712591251924369,0.9044037235341642,1,0.8157049596221877,-0.6665991487871625
0.05825772044980008,458,4,1,0.744506521044397,0.76736297163982,1.668542090232934,3.3579726917843966,0.23792406812722744,1.0858983185928874,1.1624697786790597,1,0.9630731263706475,-0.6797559415948674
0.02524420341390352,169,6,3,0.6376274416521416,0.7936621647164802,3.1346801348576676,4.322271205423054,1.9239910067163688,1.0941307724097373,0.8521483072576066,5,1.160823551824187,-0.6065465534160602
0.06426552791704351,71,4,5,0.791415117206688,0.883705772858816,2.7745863609182986,4.451704928226572,1.110034978615198,0.8595305882879007,1.1788483956859526,4,1.5651005805152538,-0.6058400237308831
0.02223200280908658,584,6,6,0.8625402720975386,0.7978319650672807,2.450234230038798,0.6737253999899245,0.8044530801080831,1.0935547693519898,1.1131387468707927,6,1.027413024429228,-0.6841410990429618
0.057025855903104425,215,3,3,0.763818678870475,0.8582129149004177,3.121045252173019,2.3061541265447616,1.4879512463146352,1.2176726139685528,1.1477346650742979,4,0.5286440543054401,-0.6089654376040884
0.0355503210509907,263,7,3,0.6858305837686323,0.6825618411656306,3.0818354970006103,0.04387214750731783,0.10569471989931656,1.0423904655063374,1.0548595088773898,5,1.2734044209990647,-0.7042484628104616
0.016738105101741868,176,6,5,0.8765858170876653,0.8239472921231669,2.3302802570765486,0.617819256622617,0.6674229824509514,0.8567363486862007,0.8777328046882326,1,0.534678290069327,-0.614659121451142
0.04117392965897598,178,8,10,0.8962841478186573,0.7248056617153982,2.965834615994317,0.8830407417139219,1.2978685642297532,1.2305307355027184,1.1280682666914523,3,1.5687865616220946,-0.7016067151168892
0.019554514270281285,434,10,4,0.6410922947061308,0.8596438526673823,3.678463340168378,3.118833773275704,1.8163130447723166,0.7390113317041527,1.136702963718442,4,1.302947443995249,-0.6940694207209717
0.05341649756599053,677,10,4,0.7653275205454018,0.629281183841692,1.451189976877515,2.484667684587742,0.9944828787816318,1.1813258100539825,0.9182396449064273,6,0.8043829671759868,-0.6044129661269735
0.06287166322013026,533,5,4,0.6069355430061603,0.6264060286292827,2.8515499933716493,3.5605569503102235,0.436407949565772,0.7098993606623625,1.1867344873911845,1,1.9958660179428813,-0.6382647264472482
0.04146892272167686,73,8,10,0.6093997277689611,0.6080370414037651,2.7644245308077937,4.021710811182502,1.5578251205289577,1.0007170448578708,0.9520572048743228,5,0.7010074062000042,-0.6060335587446148
0.016510653164804007,609,10,1,0.8322257168403397,0.7465112775304732,1.6941780360414982,2.5214183561191925,0.7127632058536058,0.8691615740010236,1.0929953994013315,4,1.9639672785203255,-0.6904963540576293
0.04431996856241486,210,8,9,0.7929466894918138,0.6129354279474334,3.8501205024712917,1.378510439224096,0.1330393211926464,1.212702918186747,0.8921673862194704,10,0.598787286222124,-0.6158038699213747
0.027669938154090076,299,9,1,0.7828234814704611,0.8285530513716258,0.577511145648058,3.542842078963089,1.7759690698079678,0.7399522458561433,0.801835429594792,10,1.9374080052484102,-0.6878836598625492
0.013600511675234472,710,10,6,0.8514741870712645,0.7442183946025389,4.336673759077167,2.094049509024303,0.37364566873030514,1.0352573282862572,0.8869853547932092,7,1.2246135917614114,-0.699434013537652
0.06504672528644931,459,7,7,0.8461550390279085,0.7958417986566452,4.256235644298826,2.1367806424255265,0.6870376084857428,0.8253149421530498,1.0019606442686326,3,1.0337038141094639,-0.712169382797989
0.09428461222037239,456,9,1,0.6800507318213563,0.6043465704172178,0.28358520052977765,0.9996448312718884,0.045649289759984835,0.9237229963023637,1.0716587207702846,0,1.8953164273915108,-0.686937070918343
0.09326359075545768,479,5,8,0.8376058595374837,0.6198197148158023,0.07365619455773631,1.1738003464980333,1.9239926899073903,0.9779423735621486,0.9606397942156139,2,1.9490586219264903,-0.6893445548577585
0.09276274723472493,441,5,8,0.6934039975237123,0.6061328004383324,0.16198375548989974,1.2628872891694956,0.08163253289767247,1.0238959510806867,0.976936949495483,7,1.6640489625021666,-0.6981209840198458
0.09819624381030095,415,8,8,0.8208969848046663,0.6207223010264428,0.13894777758880572,1.300933306717726,1.8255785439842933,0.9419641657873614,0.9632652783975666,7,1.9887967244835796,-0.7010304397753299
0.09512469139669259,359,8,8,0.8288526233895628,0.6507903392500503,0.12376077140626807,1.46037721388288,1.2831147762237285,1.1295125186459678,0.939056697794208,7,1.9810883251586429,-0.7014360037229439
0.09403312851406757,365,8,8,0.8447812091178697,0.751766013833194,0.06983703785779927,1.362031101817871,1.2551648911605007,1.1259532641668328,0.9591511295856231,7,1.951079095159592,-0.7027028632661266
0.09809114523710435,337,8,8,0.8213023735230031,0.6009046748338417,0.26932997307825124,3.2480623417739967,1.2492885466047299,1.1672595998122017,0.9502971703242739,7,1.8978883018664165,-0.7017891298301636
0.09098712587611513,337,10,8,0.8237853110597135,0.7423724293950997,0.2066276081089411,3.017032361189002,1.2302112145710742,1.1836369838306546,0.9350064312753429,8,1.9754822337383398,-0.6959627439511991
0.0998058410634159,416,10,3,0.804077327781927,0.657459890737098,4.961542393091105,1.49876920034341,0.135184249530657,0.9784756650833004,1.0179224401050202,7,1.992342617187789,-0.698113872180581
0.09733360873549987,369,8,2,0.8185311104158263,0.7396835870004682,4.889006068309343,1.4080933099055752,0.027583336617523213,0.9721810215528248,1.0176381047210126,8,1.9460034522563445,-0.7011750276296441
0.09883337335353584,355,5,2,0.8120333410463398,0.748712546834486,4.939171576701427,1.2619481260688676,0.020215746301029514,0.9778917720949345,1.0414714939628162,3,1.9524881255897426,-0.6800153982055557
0.09298231788445203,336,8,3,0.8170384464786242,0.7415512021875285,4.686229301375614,1.2969605280763352,1.2339370734762092,0.9993458257329931,1.0139244791899236,3,1.9753738295071548,-0.7012721952394042
0.09865486942829756,384,8,2,0.8166929798666944,0.7397659655547919,4.900100948030852,1.2952698196558625,1.2946532229713215,1.0051919164084568,1.0661554879678814,3,1.9177647077790267,-0.7010753157123163
0.09965652148712309,355,8,2,0.8213123419776039,0.7412104840926789,0.2887732566556114,1.2914213447576632,1.352114289049678,0.9895482943835592,1.0438705133585198,3,1.9209575155220542,-0.6996481449730169
0.09495152490069943,367,8,2,0.6696431750370927,0.7398388406918329,3.6101476988876025,1.2277390697850323,1.3091361919886704,0.9950320509895643,1.0423303965096966,3,1.9714046952895836,-0.6967283517809424
0.03364702073559629,353,8,2,0.8453100921958558,0.7433402386976234,3.6343997232121663,1.652597518501215,1.2460891031601644,1.146589336422483,1.040151047612136,3,1.9423452732917867,-0.6964440194231366
0.03454476119424234,356,8,2,0.6667529459364033,0.7401696952688981,4.405071365751648,1.855092832008271,1.3143390815315799,1.290348036585314,1.0419966885045255,3,1.886561772581008,-0.7046370655334288
0.036735520716762164,351,8,2,0.6706897357935104,0.7379387001741339,3.6004295662676586,1.7684762721699063,1.3158683312379433,0.9265308477045198,1.0315110885446752,3,1.8199723497889715,-0.6883232973819123
0.034546090076986016,284,8,2,0.6743840683589251,0.7285034824148581,3.6868864449809156,1.7393012319678407,1.2998293182672214,1.2967914636718556,1.0339682565024628,4,1.77657525877229,-0.7050460111556581
0.07769593464927586,372,9,1,0.6577590765961266,0.6435334791120069,3.608489722232512,1.8110858296182166,1.7659304723334697,1.1489469569621682,1.0191269101964882,7,1.8220208058778502,-0.6991889036505524
0.032425277594957634,740,9,1,0.6633164277283713,0.7293292429294602,3.6381723008657834,2.971258088888535,1.6858925511038525,0.9254823481191935,1.0210523444697834,8,1.8143551857894007,-0.704854072424474
0.035185129986721145,276,9,9,0.8570833420670494,0.7399443675833547,3.564907544931122,2.9309252745828136,1.6990040399278055,1.1632493903494248,1.0121914757644668,4,1.8377702135397562,-0.7014024215056258
0.03185428633942106,264,7,9,0.8601116414527803,0.7405049707164179,3.55236419387263,3.111098802564772,1.732981993455609,1.2921898114018655,1.0256546694428397,4,1.8195315326322232,-0.6980598306253875
0.03521200324538331,251,7,9,0.8538963092625805,0.7513414167263154,3.564873512553799,3.110805684606031,1.3428581141272045,1.2910982778238165,1.0116172238447885,4,1.8307496606703186,-0.6993972627036062
0.03358546172742479,254,7,9,0.863426178789803,0.7316230639529706,3.4369709451945005,0.05810446952097437,1.3235482311874258,1.2839985485711616,1.024388166132283,4,1.8369646588959523,-0.6977603827188238
0.07535270792566265,393,7,7,0.8174000729118986,0.6493333957436358,3.756746835902804,2.912348645192747,1.751024048283273,0.9065477841881454,1.0091125679309247,0,1.4044893815414514,-0.7050782357482953
0.077529914889147,424,7,7,0.8597159186079557,0.760556312388328,3.5857408500173604,1.704994507192039,1.6630750477479013,0.9163383248750849,1.0122576405805013,0,1.3683402132391267,-0.7081669648519163
0.07836884750866467,393,7,7,0.8654794876521605,0.7282199552720654,3.578915665005335,1.7067976058436884,0.7246243714232145,0.9241165720223827,1.0064863937466948,0,1.8366208756771298,-0.6980653470079105
0.07633830054279256,612,7,2,0.6657996280722338,0.8974036796328656,3.4081008835269486,0.039919040514564255,1.6940902508371072,0.9280424411357827,1.0047332759622323,4,1.3367501476340762,-0.7048157649465576
0.07814211272938902,609,7,2,0.6705944793805582,0.8986170620627373,3.526548238740322,1.7842399539880685,1.7077554795290195,0.9118276689915652,1.004508082966038,4,1.390261002921524,-0.7050729902300638
0.07972246053749917,624,7,2,0.6706518617758678,0.8479863291331851,3.4387933477815418,1.7710197519303958,1.6611591152780356,0.8947122423050651,0.9997466945071349,4,1.4034048414677858,-0.705066501874153
0.07827608894546037,259,7,7,0.6666657660044136,0.7631877046992995,3.49322873397725,1.7191358757947746,1.6779502422996757,0.914317313999713,0.9990898763564463,2,1.395074664365932,-0.7022968476027582
0.07325282564525061,261,7,7,0.6605895447429097,0.7644506233722159,3.5933134794133155,1.8366733030750955,1.6777575723548093,0.9135448592468592,1.0014831494268606,4,1.427716339794144,-0.7024229159369434
0.07377191051487549,261,7,7,0.7272229755687286,0.7643536584506251,3.4953771104029916,1.6936075129622035,1.623888741339654,0.9117610416617851,1.0042996380259959,4,1.4076704123253858,-0.7025336044645253
0.07675951417125919,249,7,7,0.740915496021426,0.7650900873450752,3.5791188646227567,1.695888586003048,1.7010537929662375,0.7987705246289936,1.0081615364246175,4,1.4036283470149946,-0.6948832300075248
0.07887032940262832,614,7,5,0.726666315089561,0.7706510113639033,1.0725342160489009,1.6214029979790534,1.6167571333032762,0.9119433860619154,0.9983624862895532,2,1.3841356891797534,-0.7051504409013326
0.07842432382937917,512,7,7,0.7448762289203789,0.7673645002928203,1.1308846174241727,1.73099068250082,1.618176085567169,0.8187442874809837,0.9898727852118409,2,1.4034922630470763,-0.7040962750656742
0.07585168527349752,741,7,7,0.7382272496762741,0.7697448566603685,1.0972319327965594,1.7118417411521112,1.7121424813602073,0.901612650482628,1.002194479104655,2,1.4181801061500607,-0.7049711105725976
0.07804496524731906,618,7,7,0.7347220168997327,0.7763557066824255,0.8714910289927269,1.742132803389128,1.453312167942403,0.799306710956256,0.9215142334699261,5,1.4085436346581317,-0.705173894610919
0.04631095744913976,613,7,5,0.7365358428089992,0.7134088660777234,4.164906198082066,0.3774787894377954,1.4487309887241127,0.809472271117568,0.9889796117061979,2,1.4242975702056366,-0.7021899173172216
0.07411781834410135,625,7,5,0.7426625581007404,0.7138302697075364,4.490437934928511,1.7198469937057266,1.6734318647239605,0.8248614498732888,0.992201403965438,2,1.456544874370302,-0.7030508305647204
0.0770471190044685,621,7,7,0.7254597174599214,0.7639797015600357,4.172966685613275,1.8862974658045761,1.4447503898607794,1.0596233889481492,0.9900520035862569,2,1.449227824299659,-0.7071396707359137
0.0777075577701408,298,7,7,0.7286598693218399,0.7667256107270063,4.138996408944667,1.7306887906743749,1.6457835849896314,1.0591376728284374,0.9896704762095135,2,1.418603048274475,-0.7091862585616487
0.0823983296778266,630,7,3,0.7321182096461988,0.7741745717506333,4.2747860574978125,0.3641259723262248,1.459063706492991,0.7810963013515545,0.9998768030574001,2,1.405684675961253,-0.7040689136431985
0.0815855669728165,613,7,3,0.7367474897834821,0.7091658187358849,4.293512311550327,1.711989556001122,1.4514505089386955,0.8846601435980443,0.9946312980810222,2,1.4223222992948685,-0.7048054200777152
0.07930566618296916,598,7,3,0.7458695296890236,0.7686690992086231,4.193362325238256,0.4207412178412377,1.4558620063903165,0.8250060757018483,0.9924196225405398,2,1.4023870584028715,-0.7047962181240544
0.028603843247543757,618,7,3,0.7262523490091944,0.7185509759813259,4.4317673775873345,0.37043420047863845,1.4520899700070977,0.8213806248708792,1.0804277796371342,2,1.4596180170274367,-0.690245698058999
0.0789419519547306,507,7,7,0.6530997406491333,0.714857958450087,4.179028478059231,2.7307038211278476,1.4203673492010318,0.7988751647340195,1.089489239426917,2,1.7437746595446229,-0.6897218531255819
0.07044562777105429,503,7,5,0.6543652926011811,0.7155593592490785,4.280025224591576,0.3264116753717643,1.1065084868533048,0.8172901153361183,1.0880983439060363,2,1.669669756492363,-0.6911528721197554
0.04556197946252657,512,7,6,0.8820240421398161,0.6830933410120379,4.238140640519941,2.0254310186225393,1.4342007316352614,0.8833081407764896,1.0683350832516982,2,1.338923334573265,-0.7015320044691551
