,precision,recall,f1-score,support
0,0.850401768861565,0.9911376492771842,0.915391983281572,31820.0
1,0.8470715835140998,0.21969057665260197,0.3488943488943489,7110.0
accuracy,0.8502440277421012,0.8502440277421012,0.8502440277421012,0.8502440277421012
macro avg,0.8487366761878324,0.6054141129648931,0.6321431660879604,38930.0
weighted avg,0.8497935587968212,0.8502440277421012,0.8119294047947199,38930.0
