feature,importance
a_pc,0.2545022
b_pc,0.14692579
v_km_s,0.09224324
t_coal_yr,0.08218508
m3,0.055781078
m1,0.050117057
psi,0.048939526
phi,0.048742186
m2,0.04840175
e,0.047842015
theta,0.04565041
f,0.039648995
Ecc_Anomaly,0.039020628
