number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
0,-0.1550382549243041,2025-12-07 13:48:57.988385,2025-12-07 13:49:02.527531,0 days 00:00:04.539146,0.6825523516388927,0.4193509252062029,0.016466152949675444,1,5,4,681,3.779493152899567,4.049011988588894,1.820247033480619,0.8449456722568569,0.8135103410487483,1.4474555750031541,COMPLETE
1,-0.35286768896234544,2025-12-07 13:48:57.995415,2025-12-07 13:49:19.324477,0 days 00:00:21.329062,0.6513515021665961,0.0060308202654904,0.01330722549710754,9,6,5,370,0.7943394333563014,0.3208407834389737,1.743250594676844,0.7077975743479348,1.1039896842934667,1.908853888463916,COMPLETE
2,-0.6474731021370376,2025-12-07 13:48:58.006619,2025-12-07 13:49:05.331105,0 days 00:00:07.324486,0.8175283761209505,1.7133114901435114,0.09572497311612004,0,9,7,394,3.5580424003875715,0.49722947605382206,0.5503529138503371,0.6356479975168017,1.5334917374685082,1.095639105771327,COMPLETE
3,-0.4901770275704364,2025-12-07 13:48:58.013024,2025-12-07 13:49:19.143152,0 days 00:00:21.130128,0.8241692723098999,1.8964509530551057,0.05524879069902077,2,7,5,335,1.5041288665968133,2.087398010500336,1.9497519498427476,0.6178892070035427,0.9409350439470641,1.459781290633932,COMPLETE
4,-0.6526855808657247,2025-12-07 13:48:58.024414,2025-12-07 13:49:07.811741,0 days 00:00:09.787327,0.8668631782106505,0.9445106071358143,0.08560376427797968,10,4,9,195,4.355785382781709,1.253649907494267,0.6215056518788266,0.6599597398514033,1.4040458289824191,0.6728153931811203,COMPLETE
5,-0.6300449424431239,2025-12-07 13:48:58.041769,2025-12-07 13:49:31.524230,0 days 00:00:33.482461,0.8967346359889055,1.5285553485208407,0.06305285627832158,9,8,4,466,2.836082166524525,2.7253235279675883,1.8612778462735422,0.6661488194131803,1.1940548535293993,1.0268529731592837,COMPLETE
6,-0.645116489111102,2025-12-07 13:48:58.135003,2025-12-07 13:49:07.990250,0 days 00:00:09.855247,0.6927257508352993,0.0225688781166562,0.012372658697989826,9,6,8,272,0.843352560732078,3.144317234564525,1.680025152391459,0.6081377423332094,1.5194787078801064,0.9306510845730573,COMPLETE
7,-0.5173235832771558,2025-12-07 13:48:58.156299,2025-12-07 13:49:20.266378,0 days 00:00:22.110079,0.8510372082794542,1.5511022799329632,0.09305888347444007,3,7,8,362,0.38221563358546207,2.4743061615166404,1.2871236069893164,0.6443448022204857,0.694265797291362,1.8264715116190173,COMPLETE
8,-0.6128054575311851,2025-12-07 13:48:58.197732,2025-12-07 13:49:02.525925,0 days 00:00:04.328193,0.6629664678530997,0.24893801683102867,0.024735442194894427,10,4,1,255,0.32364825152395915,1.4905271884790827,1.7203140216828368,0.7707952656703234,1.3350907127470628,0.6513556021434836,COMPLETE
9,-0.629578237441823,2025-12-07 13:48:58.223989,2025-12-07 13:49:02.899054,0 days 00:00:04.675065,0.8239769885373911,1.5545492313505607,0.05783412114654398,5,5,6,634,3.787522604858251,3.1976878586015465,0.7852004320015622,0.701864113240485,1.7549017202019808,1.5618945199459404,COMPLETE
