feature,importance
a_pc,0.32805082
b_pc,0.16746534
t_coal_yr,0.11585417
v_km_s,0.09011794
m3,0.05795389
m1,0.04676988
m2,0.037484854
phi,0.034724753
e,0.033825044
psi,0.026156405
theta,0.025571391
f,0.018835502
Ecc_Anomaly,0.017190052
