,precision,recall,f1-score,support
0,0.854474453152735,0.9833438089252042,0.9143909174593433,31820.0
1,0.7706620510601471,0.25049226441631506,0.3780914977178643,7110.0
accuracy,0.8494991009504238,0.8494991009504238,0.8494991009504238,0.8494991009504238
macro avg,0.812568252106441,0.6169180366707596,0.6462412075886038,38930.0
weighted avg,0.8391673332226476,0.8494991009504238,0.8164436049917884,38930.0
