learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,class_1_weight,threshold,value
0.014103807839041558,515,10,15,0.8231728876040785,0.6234407252233148,1.008659855719588,0.21811236075353901,1.699110999545841,9,4.506910122293663,3.4944754070359103,0.24843699559669571,-0.723937482791835
0.019904325823854607,431,4,20,0.6695553310477219,0.6339583865400655,4.84488971766961,2.836990319268344,1.7523130304443302,10,3.7945590577918553,2.7286833292125454,0.2353088976422568,-0.7136760468008305
0.07267755323258826,410,7,18,0.7516574895342645,0.7924960107721171,2.588597427968413,2.3088886022759687,1.5358625276811648,9,6.0303547205025,6.097607289355731,0.25054581003879717,-0.7181293211192867
0.04041592395093207,560,5,14,0.7296628573368554,0.6635133998094346,2.2438336498195777,4.801986252545218,0.8915799316186204,9,4.620629471153482,4.680820164663228,0.39017487556729247,-0.7240014508657051
0.011735404049800236,445,9,5,0.8532818450373594,0.8835246281704328,3.997368702995099,3.409203564955832,1.007672145959172,10,4.812952874375461,7.997252805564158,0.2985613174319595,-0.719331447938883
0.016911230487377544,339,5,16,0.6465244211738309,0.8924630805471192,3.651208125468406,4.8261428777870545,1.6082204414534995,6,4.076633313911085,9.571667903590146,0.3499413854507143,-0.711412624199816
0.012330053272907806,379,7,18,0.6332875633146559,0.8058673974856232,1.4361302831240164,3.1560744510337333,1.6368809129142048,10,11.219536305760776,4.180448405432085,0.10941482470353076,-0.7086862809792277
0.03991789010671017,715,5,6,0.6599855919380343,0.8513568616919207,3.2596653371932067,0.5922593321868913,1.773800344832613,5,3.53145533589188,5.663329865903282,0.2963167842114134,-0.7217363068147264
0.04861338356440411,718,7,13,0.8094792825208497,0.6112876208639613,1.2547960431088812,0.9337469143210175,1.7953261984397029,3,6.19432925878181,8.308192566990837,0.1163151488360026,-0.7115453968139096
0.06132981718325242,329,9,3,0.6204802593410057,0.875822336959838,3.2945137635357096,3.3117393726508677,0.7691057901033493,2,8.452583723452952,8.336688855461505,0.27896906614896894,-0.7161173603930778
0.013076877210318638,511,7,14,0.7074036188082263,0.7458429963255477,3.0423298783506243,2.3754180762082,1.3432763367798572,9,2.6519269983664167,9.918423931894548,0.3163867227703836,-0.7174663805773412
0.042042115706716184,502,8,11,0.8507924695133895,0.7665897628901059,0.7344556797338125,4.662737206840831,0.6107450656217632,0,3.4541250208921226,4.244847717575674,0.13349533408820055,-0.7184982130035789
0.012870959265435467,522,4,15,0.8754709482084776,0.8602609751842012,4.456697210067161,0.4528362704918598,0.0758167711224127,10,2.47423201226541,6.965896381630051,0.28519848372499235,-0.7117405664215841
0.01899278085569271,629,4,6,0.8621432421795319,0.8669175289824458,0.1648250676844193,0.12103174714971576,1.9858089183204752,10,2.966663726550939,5.107378090680601,0.13804273900571656,-0.7105974850733909
0.01521859895516098,578,5,11,0.8449425985688659,0.7205307583837071,3.0456775251621866,4.346742803341731,0.7470144334198718,3,4.825826199972866,2.107994595827029,0.22864746604913277,-0.7166870957816285
0.014470466912357724,297,6,2,0.8213785090384527,0.6216155614014752,4.636562788084657,0.7361185056509789,1.571719839629539,3,6.941459805148441,4.82266447361555,0.30343584067312845,-0.7098738758689673
0.012289239655765451,473,9,2,0.6364739050911314,0.841072111186284,1.4858203552547178,2.578149057176308,0.2403772877220327,1,2.8290847604939167,7.073911064903164,0.369603721976986,-0.724996363987238
0.02078135618232555,486,3,3,0.8235747821559152,0.6064365455247449,0.966318835284658,1.500026392362785,1.4756417868598477,5,4.512281670069977,9.690444028401723,0.2512839535072733,-0.7088063720805986
0.028843517277190648,573,8,19,0.8113014577587205,0.7961441727091663,2.6714231449423047,0.5705598354496166,0.17531007155337575,2,2.8803253695931064,5.673440120507205,0.31504017269347123,-0.7270680516227801
0.0334827413581295,191,6,20,0.7748983750992855,0.707319268954325,2.7936661702089283,3.34281811172891,1.4848384512870558,10,11.677458628864136,4.6002768242373815,0.3074498433779944,-0.7113114666619336
0.0685821555242638,470,4,1,0.6877319737576368,0.8852673905193291,2.0241523720390697,1.952695375085292,1.5797945804607632,9,2.4071166063327722,7.119831854609359,0.17339355091386582,-0.71632004093245
0.026042085779230978,688,3,13,0.6228311949262463,0.8597096904082685,3.4548272132768965,0.20571271479773112,0.6509164303654531,1,10.999233347268744,2.9810937212316064,0.3661205407438112,-0.713294821662112
0.0701839192829859,143,10,3,0.7949279761413071,0.6282278423943645,2.2145155959838836,3.9016600801852697,0.469867348392893,6,4.964751438855692,2.050672159652745,0.3802431835081407,-0.7184341101605992
0.01600408796923196,374,4,9,0.8751595826150951,0.8920094670895802,0.5087126098423289,2.661132343713288,0.3925067305776293,4,5.433023826025507,7.614686868141345,0.29501243518089315,-0.7093088727438144
0.03937113079860593,73,9,8,0.6690715568437849,0.8337711091969514,4.324680653693326,2.857501025000901,1.589434216396815,1,3.5153864653067495,7.545897761998757,0.3006288599425794,-0.7089363426699807
0.014059043646445037,714,8,5,0.6375882243729608,0.7181349713468278,0.8568690815506286,3.430681077576862,0.010115830994768649,4,4.730875096365617,8.07291842759664,0.33884102100209645,-0.7204820310937432
